"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat quinquennal","Nombre"
2008,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","35-39 anys",39
2008,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","35-39 anys",92
2008,3,"Sants-Montjuïc",16,"la Bordeta","Dona","35-39 anys",75
2008,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","35-39 anys",110
2008,3,"Sants-Montjuïc",18,"Sants","Dona","35-39 anys",228
2008,4,"Les Corts",19,"les Corts","Dona","35-39 anys",155
2008,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","35-39 anys",95
2008,4,"Les Corts",21,"Pedralbes","Dona","35-39 anys",21
2008,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","35-39 anys",18
2008,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","35-39 anys",91
2008,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","35-39 anys",45
2008,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","35-39 anys",85
2008,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","35-39 anys",201
2008,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","35-39 anys",165
2008,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","35-39 anys",106
2008,6,"Gràcia",29,"el Coll","Dona","35-39 anys",33
2008,6,"Gràcia",30,"la Salut","Dona","35-39 anys",54
2008,6,"Gràcia",31,"la Vila de Gràcia","Dona","35-39 anys",446
2008,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","35-39 anys",170
2008,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","35-39 anys",101
2008,7,"Horta-Guinardó",34,"Can Baró","Dona","35-39 anys",54
2008,7,"Horta-Guinardó",35,"el Guinardó","Dona","35-39 anys",186
2008,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","35-39 anys",29
2008,7,"Horta-Guinardó",37,"el Carmel","Dona","35-39 anys",106
2008,7,"Horta-Guinardó",38,"la Teixonera","Dona","35-39 anys",63
2008,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","35-39 anys",20
2008,7,"Horta-Guinardó",40,"Montbau","Dona","35-39 anys",20
2008,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","35-39 anys",16
2008,7,"Horta-Guinardó",42,"la Clota","Dona","35-39 anys",0
2008,7,"Horta-Guinardó",43,"Horta","Dona","35-39 anys",113
2008,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","35-39 anys",88
2008,8,"Nou Barris",45,"Porta","Dona","35-39 anys",101
2008,8,"Nou Barris",46,"el Turó de la Peira","Dona","35-39 anys",43
2008,8,"Nou Barris",47,"Can Peguera","Dona","35-39 anys",7
2008,8,"Nou Barris",48,"la Guineueta","Dona","35-39 anys",56
2008,8,"Nou Barris",49,"Canyelles","Dona","35-39 anys",10
2008,8,"Nou Barris",50,"les Roquetes","Dona","35-39 anys",43
2008,8,"Nou Barris",51,"Verdun","Dona","35-39 anys",54
2008,8,"Nou Barris",52,"la Prosperitat","Dona","35-39 anys",70
2008,8,"Nou Barris",53,"la Trinitat Nova","Dona","35-39 anys",25
2008,8,"Nou Barris",54,"Torre Baró","Dona","35-39 anys",4
2008,8,"Nou Barris",55,"Ciutat Meridiana","Dona","35-39 anys",21
2008,8,"Nou Barris",56,"Vallbona","Dona","35-39 anys",3
2008,9,"Sant Andreu",57,"la Trinitat Vella","Dona","35-39 anys",26
2008,9,"Sant Andreu",58,"Baró de Viver","Dona","35-39 anys",12
2008,9,"Sant Andreu",59,"el Bon Pastor","Dona","35-39 anys",35
2008,9,"Sant Andreu",60,"Sant Andreu","Dona","35-39 anys",270
2008,9,"Sant Andreu",61,"la Sagrera","Dona","35-39 anys",77
2008,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","35-39 anys",59
2008,9,"Sant Andreu",63,"Navas","Dona","35-39 anys",75
2008,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","35-39 anys",192
2008,10,"Sant Martí",65,"el Clot","Dona","35-39 anys",120
2008,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","35-39 anys",54
2008,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","35-39 anys",40
2008,10,"Sant Martí",68,"el Poblenou","Dona","35-39 anys",177
2008,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","35-39 anys",70
2008,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","35-39 anys",54
2008,10,"Sant Martí",71,"Provençals del Poblenou","Dona","35-39 anys",57
2008,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","35-39 anys",72
2008,10,"Sant Martí",73,"la Verneda i la Pau","Dona","35-39 anys",64
2008,99,"No consta",99,"No consta","Dona","35-39 anys",3
2008,1,"Ciutat Vella",1,"el Raval","Dona","40-44 anys",186
2008,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","40-44 anys",77
2008,1,"Ciutat Vella",3,"la Barceloneta","Dona","40-44 anys",77
2008,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","40-44 anys",151
2008,2,"Eixample",5,"el Fort Pienc","Dona","40-44 anys",124
2008,2,"Eixample",6,"la Sagrada Família","Dona","40-44 anys",248
2008,2,"Eixample",7,"la Dreta de l'Eixample","Dona","40-44 anys",204
2008,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","40-44 anys",214
2008,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","40-44 anys",211
2008,2,"Eixample",10,"Sant Antoni","Dona","40-44 anys",180
2008,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","40-44 anys",184
2008,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","40-44 anys",4
2008,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","40-44 anys",69
2008,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","40-44 anys",38
2008,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","40-44 anys",73
2008,3,"Sants-Montjuïc",16,"la Bordeta","Dona","40-44 anys",41
2008,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","40-44 anys",101
2008,3,"Sants-Montjuïc",18,"Sants","Dona","40-44 anys",189
2008,4,"Les Corts",19,"les Corts","Dona","40-44 anys",155
2008,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","40-44 anys",55
2008,4,"Les Corts",21,"Pedralbes","Dona","40-44 anys",17
